computeID,SigmaID,Sigma#,DisAxis U,DisAxis V,DisAxis W,DisAngle,Rvec 1,Rvec 2,Rvec 3,BP N1,BP N2,BP N3,planeID,BPFZ A N1,BPFZ A N2,BPFZ A N3,BPFZ B N1,BPFZ B N2,BPFZ B N3,BPFZ Stereo X,BPFZ Stereo Y,A11,A12,A13,A21,A22,A23,A31,A32,A33,B11,B12,B13,B21,B22,B23,B31,B32,B33,numStructsMinimized,minEnergyStructID,minGBenergy,minEnergyStructFname
S87d_fcc_Nn32_152_29_Al_M99_211122,87d,87,7,3,1,48.6299601,0.4117647,0.1764706,0.0588235,-32,152,29,S87d_fcc_n-32_152_29,-17,82,134,32,-152,-29,-0.4274406,-0.6806867,-31,-5,-8,-51,-55,232,-32,152,29,-32,-5,-1,28,-205,129,-17,82,134,2109,1007,573,struct_S87d_fcc_Nn32_152_29_Al_M99_211122.1007.out
S169e_fcc_N65_n89_23_Al_M99_200714,169e,169,6,3,2,44.7602701,0.3529412,0.1764706,0.1176471,65,-89,23,S169e_fcc_n65_-89_23,77,-61,-55,-65,89,-23,0.6509033,0.4724072,3,4,7,-715,-386,527,65,-89,23,5,0,7,-427,-814,305,77,-61,-55,10043,1695,502,struct_S169e_fcc_N65_n89_23_Al_M99_200714.1695.out
S25b_fcc_N18_n10_1_Al_M99_210712,25b,25,3,3,1,51.6838655,0.3333333,0.3333333,0.1111111,18,-10,1,S25b_fcc_n18_-10_1,10,-18,-1,-2,15,-14,-0.1497758,0.2329964,-3,-5,4,-7,-15,-24,18,-10,1,0,-7,1,-20,-3,-21,15,-2,-14,2434,160,501,struct_S25b_fcc_N18_n10_1_Al_M99_210712.160.out
S97b_fcc_Nn3_76_36_Al_M99_200714,97b,97,5,1,1,30.5906886,0.2631579,0.0526316,0.0526316,-3,76,36,S97b_fcc_n-3_76_36,3,-36,-76,-4,69,48,-0.204885,0.8973029,-16,-3,5,488,-561,1225,-3,76,36,-15,-7,4,675,-1019,748,-4,48,69,3838,388,557,struct_S97b_fcc_Nn3_76_36_Al_M99_200714.388.out
S549h_fcc_Nn13_341_377_Al_M99_200714,549h,549,13,1,1,32.4070172,0.2888889,0.0222222,0.0222222,-13,341,377,S549h_fcc_n-13_341_377,3,-87,-501,-13,341,377,-0.0622722,0.7103698,51,13,-10,-8311,19097,-17560,-13,341,377,50,19,-3,-3260,8347,-1469,-1,29,167,8335,5687,581,struct_S549h_fcc_Nn13_341_377_Al_M99_200714.5687.out
S145h_fcc_Nn21_n15_173_Al_M99_200714,145h,145,6,5,2,56.5146234,0.4,0.3333333,0.1333333,-21,-15,173,S145h_fcc_n-21_-15_173,87,-115,99,21,15,-173,0.7467186,-0.5059058,-14,-15,-3,528,-497,21,-21,-15,173,-13,-15,-6,435,-153,-560,87,-115,99,6137,6181,359,struct_S145h_fcc_Nn21_n15_173_Al_M99_200714.6181.out
S125e_fcc_Nn373_n211_35_Al_M99_210622,125e,125,4,3,0,53.1301024,0.4,0.3,0,-373,-211,35,S125e_fcc_n-373_-211_35,-343,-251,65,373,211,-35,-0.8747148,0.0690325,5,-10,-7,21,-28,55,-373,-211,35,-1,-2,-13,39,-52,5,-343,-251,65,4542,2832,584,struct_S125e_fcc_Nn373_n211_35_Al_M99_210622.2832.out
S999ae_fcc_Nn11_n14_33_Al_M99_220118,999ae,999,16,11,10,58.4983901,0.4102564,0.2820513,0.2564103,-11,-14,33,S999ae_fcc_n-11_-14_33,-125,290,-119,-11,-14,33,-0.9179727,0.3966435,-17,44,13,-43,-11,-19,-11,-14,33,-5,4,15,-127,-65,-25,125,-290,119,3720,79,405,struct_S999ae_fcc_Nn11_n14_33_Al_M99_220118.79.out
S63a_fcc_Nn7_5_5_Al_M99_200714,63a,63,2,1,0,22.9809198,0.1818182,0.0909091,0,-7,5,5,S63a_fcc_n-7_5_5,-41,19,53,7,-5,-5,-0.2459598,0.3944132,-5,-8,1,5,-2,9,-7,5,5,-5,-8,-1,45,-34,47,-41,19,53,5730,5391,476,struct_S63a_fcc_Nn7_5_5_Al_M99_200714.5391.out
S73e_fcc_N36_25_14_Al_M99_211122,73e,73,4,3,0,48.8879096,0.3636364,0.2727273,0,36,25,14,S73e_fcc_n36_25_14,-36,-25,14,42,17,-8,-0.7539516,0.124795,-11,-6,39,1059,-1558,59,36,25,14,7,-30,27,699,-1078,-1379,42,17,8,5005,2847,526,struct_S73e_fcc_N36_25_14_Al_M99_211122.2847.out
S51c_fcc_N64_n23_4_Al_M99_201228,51c,51,5,3,1,48.9389555,0.3846154,0.2307692,0.0769231,64,-23,4,S51c_fcc_n64_-23_4,59,-2,-34,-64,23,-4,0.2883294,0.3766008,-13,-36,1,121,-116,-2603,64,-23,4,-12,-31,-19,-1016,1529,-1853,59,-2,-34,2591,1342,544,struct_S51c_fcc_N64_n23_4_Al_M99_201228.1342.out
